x z
14.851310 296.308541
16.103831 296.308541
17.296707 296.069966
18.191364 295.950678
19.145665 295.771746
20.159610 295.592815
20.934980 295.533171
21.889281 295.354240
22.783938 295.354240
23.559308 295.354240
24.513609 295.354240
25.288978 295.294596
26.064348 295.234952
27.197581 295.056021
28.330813 294.996377
29.225470 294.996377
30.299059 294.817445
31.313004 294.817445
32.207661 294.757802
33.221606 294.698158
34.295195 294.578870
35.368784 294.459582
36.502016 294.221007
37.217742 294.221007
38.172043 294.101720
39.185988 293.922788
39.961358 293.743857
40.796371 293.564925
